name,CAT,NOTA,TE,TG,TR,UP,USE,name_stemmed
AGRAVO EM EXECUÇÃO,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA
Art. 197. Das decisões proferidas pelo Juiz caberá recurso de agravo, 
sem efeito suspensivo.
(Lei 7.210/1984 - Lei de Execução Penal).
",,,"['EFEITO DEVOLUTIVO', 'LEI DE EXECUÇÃO PENAL', 'TRIBUNAL AD QUEM']",,,agrav em execuc
AGRESSÃO,['DPE DIREITO PENAL'],,AGRESSÃO ATUAL,,"['AGRESSOR', 'LEGÍTIMA DEFESA', 'LESÃO CORPORAL', 'RIXA', 'VIOLÊNCIA']",,,agress
AGRESSÃO ATUAL,['DPE DIREITO PENAL'],,,AGRESSÃO,"['AGRESSÃO IMINENTE', 'LEGÍTIMA DEFESA']",,,agress atual
AGRESSÃO FÍSICA,['DPE DIREITO PENAL'],,,AGRESSÃO,['INTEGRIDADE FÍSICA'],,,agress fisic
AGRESSÃO IMINENTE,['DPE DIREITO PENAL'],,,AGRESSÃO,"['AGRESSÃO ATUAL', 'LEGÍTIMA DEFESA']",,,agress imin
AGRESSÃO INJUSTA,['DPE DIREITO PENAL'],,,AGRESSÃO,['LEGÍTIMA DEFESA'],INJUSTA AGRESSÃO,,agress injust
INJUSTA AGRESSÃO,['DPE DIREITO PENAL'],,,,,,AGRESSÃO INJUSTA,injust agress
AGRESSOR,['DPE DIREITO PENAL'],,,,['AGRESSÃO'],,,agres
ALBERGADO,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,"['CASA DO ALBERGADO', 'PRISÃO-ALBERGUE DOMICILIAR', 'REGIME ABERTO']",,,alberg
CASA DO ALBERGADO,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA
Art. 93. A Casa do Albergado destina-se ao cumprimento de 
pena privativa de liberdade, em regime aberto, e da pena de 
limitação de fim de semana.
Art. 94. O prédio deverá situar-se em centro urbano, 
separado dos demais estabelecimentos, e caracterizar-se 
pela ausência de obstáculos físicos contra a fuga.
Art. 95. Em cada região haverá, pelo menos, uma Casa do 
Albergado, a qual deverá conter, além dos aposentos para 
acomodar os presos, local adequado para cursos e 
palestras.
(Lei 7.210/1984 - Lei de Execução Penal).
",,ESTABELECIMENTO PENAL,"['ALBERGADO', 'LIMITAÇÃO DE FIM DE SEMANA', 'PRISÃO-ALBERGUE DOMICILIAR', 'REGIME ABERTO']",,,cas do alberg
ALCOOLISMO,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,"['ALCOÓLATRA', 'DEFENSORIA PÚBLICA', 'INTERNAÇÃO COMPULSÓRIA']",,,alcool
ALGEMA,['DPE DIREITO PENAL'],,,,"['PRISÃO', 'USO DE ALGEMA']",,,algem
USO DE ALGEMA,['DPE DIREITO PENAL'],,,,['ALGEMA'],,,uso de algem
ÁLIBI,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,['DEFESA'],,,alib
ALICIAMENTO,['DPE DIREITO PENAL'],,ALICIAMENTO DE TRABALHADOR,,['COAÇÃO'],,,alic
ALICIAMENTO DE TRABALHADOR,['DPE DIREITO PENAL'],,,ALICIAMENTO,,,,alic de trabalh
ALICIAMENTO ELEITORAL,['DEL DIREITO ELEITORAL'],,,ALICIAMENTO,,,,alic eleitor
ALIENAÇÃO MENTAL,"['DIC DIREITO CIVIL', 'DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,"['EXAME DE SANIDADE MENTAL', 'SANIDADE MENTAL']",,,alien ment
AMEAÇA,['DPE DIREITO PENAL'],,,CRIME CONTRA A LIBERDADE PESSOAL,"['AMEAÇA ATUAL', 'AMEAÇA INDIRETA', 'AMEAÇA INJUSTA', 'GRAVE AMEAÇA']",,,ameac
AMEAÇA A DIREITO,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
O inciso XXXV do artigo 5º da Constituição Federal assim dispõs:
 ""XXXV - a lei não excluirá da apreciação do Poder Judiciário lesão ou ameaça a direito""
",,,"['ACESSO À JUSTIÇA', 'DIREITO FUNDAMENTAL', 'LESÃO A DIREITO', 'PRINCÍPIO DA SEGURANÇA JURÍDICA']",,,ameac a direit
AMEAÇA ATUAL,['DPE DIREITO PENAL'],,,,"['AMEAÇA', 'AMEAÇA INDIRETA', 'AMEAÇA INJUSTA', 'HABEAS CORPUS PREVENTIVO', 'LIBERDADE DE LOCOMOÇÃO']",,,ameac atual
AMEAÇA DE PRISÃO,['DPE DIREITO PENAL'],,,,['PRISÃO'],,,ameac de pris
AMEAÇA INDIRETA,['DPE DIREITO PENAL'],,,,"['AMEAÇA', 'AMEAÇA ATUAL', 'AMEAÇA INJUSTA', 'HABEAS CORPUS', 'LIBERDADE DE LOCOMOÇÃO']",,,ameac indiret
AMEAÇA INJUSTA,['DPE DIREITO PENAL'],,,,"['AMEAÇA', 'AMEAÇA ATUAL', 'AMEAÇA INDIRETA', 'HABEAS CORPUS PREVENTIVO', 'LIBERDADE DE LOCOMOÇÃO']",,,ameac injust
GRAVE AMEAÇA,"['DPE DIREITO PENAL', 'ECA ESTATUTO DA CRIANÇA E DO ADOLESCENTE']",,,,"['AMEAÇA', 'ESTUPRO', 'ESTUPRO DE VULNERÁVEL', 'EXAME DE CORPO DE DELITO', 'EXTORSÃO', 'FAVORECIMENTO DA PROSTITUIÇÃO', 'RAPTO', 'RUFIANISMO']",,,grav ameac
AMORTIZAÇÃO DA PENA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,AMORTIZAÇÃO,,,,amort da pen
ANALOGIA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA
Quando se refere à interpretação da lei ou do texto legal, se diz
que é a interpretação extensiva ou indutiva dele, pela semelhança 
com outra lei ou com outro texto.
É a interpretação que foge à lógica restritiva e gramatical do dispositivo 
legal, e é promovida em face de outros dispositivos, que regulam casos 
idênticos ao da controvérsia.
(SILVA, De Plácido e. Vocabulário Jurídico. vols. 1 e 2. Ed. universitária. 
Rio de Janeiro: Forense, 1989. p. 150).
",ANALOGIA IN BONAM PARTEM,,"['APLICAÇÃO DA LEI', 'CASO ANÁLOGO', 'COSTUME', 'INTERPRETAÇÃO ANALÓGICA', 'INTERPRETAÇÃO CONTROVERTIDA', 'INTERPRETAÇÃO CORRETIVA', 'INTERPRETAÇÃO DA LEI', 'INTERPRETAÇÃO DIVERGENTE', 'INTERPRETAÇÃO ESTRITA', 'INTERPRETAÇÃO EXTENSIVA', 'INTERPRETAÇÃO INTEGRATIVA', 'INTERPRETAÇÃO LITERAL', 'INTERPRETAÇÃO RESTRITIVA', 'INTERPRETAÇÃO SISTEMÁTICA', 'INTERPRETAÇÃO SUPERADA', 'LACUNA DA LEI', 'PRINCÍPIOS GERAIS DO DIREITO', 'SILÊNCIO ELOQUENTE DA LEI']",,,analog
ANALOGIA IN BONAM PARTEM,"['DPE DIREITO PENAL', 'ELA EXPRESSÕES LATINAS']",,,ANALOGIA,,,,analog in bon part
ANALOGIA IN MALAM PARTEM,"['DPE DIREITO PENAL', 'ELA EXPRESSÕES LATINAS']",,,ANALOGIA,,,,analog in mal part
ANIMUS DIFFAMANDI,"['DPE DIREITO PENAL', 'ELA EXPRESSÕES LATINAS']","

NOTA
Intenção de difamar.
",,,['DIFAMAÇÃO'],,,animu diffamand
ANIMUS NECANDI,"['DPE DIREITO PENAL', 'ELA EXPRESSÕES LATINAS']","

NOTA
""Intento de matar"" (Dicionário Houaiss 2009).
",,,,,,animu necand
ANISTIA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA
Não usar no sentido do Direito Tributário, para tal, usar o descritor ANISTIA 
FISCAL. Não usar no sentido do art. 8º da Constituição Federal de 1988, 
nesse sentido usar o descritor ANISTIA POLÍTICA.
""Ato do poder público que declara impuníveis delitos praticados até determinada data por motivos políticos ou penais, ao mesmo tempo que anula condenações e suspende diligências persecutórias"" (HOUAISS, Antônio. Dicionário Eletrônico Houaiss da Língua Portuguesa. Versão 1.0. Objetiva, 2003)
",ANISTIA FISCAL,CAUSA DE EXTINÇÃO DA PUNIBILIDADE,"['ANISTIADO', 'EXTINÇÃO DA PUNIBILIDADE']",,,anist
ANISTIA FISCAL,['DTR DIREITO TRIBUTÁRIO'],,,ANISTIA,"['CONTRIBUINTE', 'CRÉDITO TRIBUTÁRIO', 'DESONERAÇÃO FISCAL', 'ISENÇÃO TRIBUTÁRIA', 'REGIME TRIBUTÁRIO']",,,anist fiscal
ANISTIA POLÍTICA,['DCT DIREITO CONSTITUCIONAL'],,,ANISTIA,"['ANISTIADO POLÍTICO', 'ATO DE EXCEÇÃO', 'ATO INSTITUCIONAL', 'MOTIVAÇÃO EXCLUSIVAMENTE POLÍTICA']",,,anist polit
ANISTIADO,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA
Não usar no sentido do art. 8º da Constituição Federal, nesse sentido usar o termo ANISTIADO POLÍTICO
",ANISTIADO POLÍTICO,,['ANISTIA'],,,anisti
ANISTIADO POLÍTICO,['DCT DIREITO CONSTITUCIONAL'],,,ANISTIADO,"['ANISTIA POLÍTICA', 'APOSENTADORIA EXCEPCIONAL DE ANISTIADO', 'PRESO POLÍTICO']",,,anisti polit
APOSENTADORIA EXCEPCIONAL DE ANISTIADO,['DPR DIREITO PREVIDENCIÁRIO'],"

NOTA
Direito que tem, na condição de anistiado, o segurado da previdência social que, em razão de motivação política, foi atingido por ato de exceção, institucional ou complementar, que o puniu, demitiu ou compeliu ao afastamento de atividade abrangida pela previdência social e o que foi impedido de exercer atividade profissional em virtude de pressões ostensivas ou expedientes oficiais sigilosos, no período de 18.9.1946 a 5.10.1988. (DINIZ, Maria Helena. Dicionário Jurídico. São Paulo: Saraiva, 2008)
",,APOSENTADORIA,['ANISTIADO POLÍTICO'],,,aposentad excepc de anisti
APOSENTADORIA EXCEPCIONAL DE ANISTIADO POLÍTICO,['DPR DIREITO PREVIDENCIÁRIO'],,,,,,,aposentad excepc de anisti polit
AUTO-ANISTIA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,,,AUTOANISTIA,auto-anist
AUTOANISTIA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']","

NOTA

",,ANISTIA,,AUTO-ANISTIA,,autoanist
COMISSÃO DE ANISTIA,['INS INSTITUIÇÕES'],"

NOTA
A Comissão de Anistia foi instalada pelo Ministério da Justiça, no dia 28 de 
agosto de 2001. Criada pela Medida Provisória 2.151, a Comissão está 
analisando os pedidos de indenização formulados pelas pessoas que foram 
impedidas de exercer atividades econômicas por motivação exclusivamente 
política desde 18 de setembro de 1946 até cinco de outubro de 1988.
A anistia está prevista no art. 8º do Ato das Disposições Transitórias da 
Constituição Federal de 1988, o qual é regulamentado pela Lei 10.559/2002.
A reparação econômica, segundo a referida Lei, poderá ser concedida em
prestação única correspondente a 30 salários mínimos por ano de 
perseguição política até o limite de 100 mil reais, ou prestação mensal que 
corresponderá ao posto, cargo, graduação ou emprego que o anistiando 
ocuparia se na ativa estivesse, observado o limite do teto da remuneração 
do servidor público federal.
(<http://www.mj.gov.br/data/Pages/MJA21B014BPTBRIE.htm>.
Acesso em 15/10/2009)
",,,"['ATO DE EXCEÇÃO', 'MOTIVAÇÃO EXCLUSIVAMENTE POLÍTICA']",,,comiss de anist
LEI DE ANISTIA,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Concede anistia e dá outras providências.
(Lei 6.683/1979).
",,,,,,lei de anist
ANONIMATO,['DPE DIREITO PENAL'],,,,"['CALÚNIA', 'DELATIO CRIMINIS', 'DENÚNCIA ANÔNIMA', 'DENUNCIAÇÃO CALUNIOSA', 'DIFAMAÇÃO', 'DIREITO À HONRA', 'DIREITO À IMAGEM', 'DIREITO À INTIMIDADE', 'DIREITO À VIDA PRIVADA', 'INDENIZAÇÃO', 'INJÚRIA', 'LEI DE IMPRENSA']",,,anonimat
ANTECEDENTE CRIMINAL,['DPE DIREITO PENAL'],,,CIRCUNSTÂNCIA JUDICIAL,"['ATESTADO DE BONS ANTECEDENTES', 'BONS ANTECEDENTES', 'CERTIDÃO DE ANTECEDENTE CRIMINAL', 'FOLHA CORRIDA', 'INQUÉRITO POLICIAL EM CURSO', 'PENA-BASE', 'PERSONALIDADE DO AGENTE', 'REINCIDÊNCIA']",ANTECEDENTE PENAL,,anteced crim
CERTIDÃO DE ANTECEDENTE CRIMINAL,['DPE DIREITO PENAL'],,,CERTIDÃO,['ANTECEDENTE CRIMINAL'],,,cert de anteced crim
ANTINORMATIVIDADE,['DPE DIREITO PENAL'],"

NOTA
""A antijuridicidade pressupõe a antinormatividade, mas não é suficiente a antinormatividade para configurar a antijuridicidade, pois a antinormatividade pode ser neutralizada por preceito permissivo. (...) A tipicidade penal implica a contrariedade com a ordem normativa, mas não implica a antijuridicidade (a contrariedade com a ordem jurídica), porque pode haver uma causa de justificação (um preceito permissivo) que ampare a conduta"". ZAFFARONI, Eugenio Raúl. Manual de Direito Penal Brasileiro, vol. 1: parte geral. RT, 7a. ed., pagina 397.
",,,"['ILICITUDE', 'TIPICIDADE CONGLOBANTE']",,,antinormat
APLICAÇÃO DA LEI,"['DIC DIREITO CIVIL', 'DPE DIREITO PENAL']",,,APLICAÇÃO,"['ANALOGIA', 'APLICAÇÃO SUBSIDIÁRIA', 'BIS IN IDEM', 'COMUTAÇÃO DA PENA', 'CONFLITO APARENTE DE NORMAS', 'CONTRATO EM CURSO', 'DIREITO INTERTEMPORAL', 'REGRA DE TRANSIÇÃO']",,,aplic da lei
APLICAÇÃO DA PENA,"['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,APLICAÇÃO,"['CAUSA DE AUMENTO DE PENA', 'CAUSA DE DIMINUIÇÃO DE PENA', 'CIRCUNSTÂNCIA JUDICIAL', 'CIRCUNSTÂNCIA LEGAL', 'DOSIMETRIA DA PENA', 'FIXAÇÃO DE PENA', 'PENA CONCRETA', 'PENA EM ABSTRATO', 'PENA-BASE']",PENA APLICADA,,aplic da pen
APOLOGIA DE CRIME,['DPE DIREITO PENAL'],,,CRIME CONTRA A PAZ PÚBLICA,,,,apolog de crim
APREENSÃO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,"['BUSCA E APREENSÃO', 'LIBERAÇÃO IRREGULAR DE VEÍCULO APREENDIDO', 'MANDADO JUDICIAL', 'PENA DE PERDIMENTO']",,,apreens
AUTO DE BUSCA E APREENSÃO,['DPE DIREITO PENAL'],,,,"['BUSCA DOMICILIAR', 'BUSCA E APREENSÃO', 'MANDADO DE BUSCA E APREENSÃO']",,,aut de busc e apreens
BUSCA E APREENSÃO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPP DIREITO PROCESSUAL PENAL']",,BUSCA DOMICILIAR,MEDIDA CAUTELAR,"['APREENSÃO', 'ARROMBAMENTO', 'AUTO DE BUSCA E APREENSÃO', 'BEM APREENDIDO', 'DILIGÊNCIA', 'MANDADO DE BUSCA E APREENSÃO', 'OFICIAL DE JUSTIÇA']",,,busc e apreens
MANDADO DE BUSCA E APREENSÃO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPP DIREITO PROCESSUAL PENAL']",,,MANDADO JUDICIAL,"['AUTO DE BUSCA E APREENSÃO', 'BUSCA DOMICILIAR', 'BUSCA E APREENSÃO']",,,mand de busc e apreens
APRESENTAÇÃO ESPONTÂNEA,['DPE DIREITO PENAL'],,,,['ACUSADO'],,,apresent espontane
APROPRIAÇÃO INDÉBITA,['DPE DIREITO PENAL'],,APROPRIAÇÃO INDÉBITA PREVIDENCIÁRIA,CRIME CONTRA O PATRIMÔNIO,"['ABUSO DE CONFIANÇA', 'DEPOSITÁRIO INFIEL', 'DESFALQUE', 'FURTO', 'ROUBO']",,,apropri indebit
APROPRIAÇÃO INDÉBITA PREVIDENCIÁRIA,"['DPE DIREITO PENAL', 'DPR DIREITO PREVIDENCIÁRIO']",,,APROPRIAÇÃO INDÉBITA,['CONTRIBUIÇÃO PREVIDENCIÁRIA'],,,apropri indebit previdenciar
AQUISIÇÃO FRAUDULENTA,['DPE DIREITO PENAL'],,,,"['AQUISIÇÃO ILÍCITA', 'CORRUPÇÃO']",,,aquis fraudulent
AQUISIÇÃO ILÍCITA,['DPE DIREITO PENAL'],,,,"['AQUISIÇÃO FRAUDULENTA', 'CORRUPÇÃO']",,,aquis ilicit
ARMA,['DPE DIREITO PENAL'],,ARMA BRANCA,,['BALA PERDIDA'],,,arm
ARMA BRANCA,['DPE DIREITO PENAL'],,CIMITARRA,ARMA,"['BARRA DE FERRO', 'CACO DE VIDRO', 'CHAVE DE FENDA', 'GARRAFA DE VIDRO', 'PEDAÇO DE PAU', 'PEDRA', 'TIJOLO']",,,arm branc
ARMA DE BRINQUEDO,['DPE DIREITO PENAL'],,,ARMA,"['ARMA DE FOGO', 'INTIMIDAÇÃO']",,,arm de brinqued
ARMA DE FOGO,['DPE DIREITO PENAL'],,ARMA DE FOGO DESMUNICIADA,ARMA,"['ARMA DE BRINQUEDO', 'ARMAMENTO MILITAR', 'BENEFÍCIO LEGAL', 'COMÉRCIO ILEGAL DE ARMA DE FOGO', 'DISPARO DE ARMA DE FOGO', 'EMPREGO DE ARMA', 'ESTATUTO DO DESARMAMENTO', 'INSTRUMENTO DO CRIME', 'INTIMIDAÇÃO', 'MUNIÇÃO', 'OMISSÃO DE CAUTELA', 'PORTE DE ARMA', 'PORTE DE MUNIÇÃO', 'PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO', 'POSSE IRREGULAR DE ARMA DE FOGO DE USO PERMITIDO', 'POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO OU DE USO PROIBIDO', 'POTENCIALIDADE LESIVA', 'PROJÉTIL', 'RECEPTAÇÃO', 'TIROTEIO', 'TRÁFICO INTERNACIONAL DE ARMA DE FOGO', 'USO PERMITIDO', 'USO RESTRITO']",,,arm de fog
ARMA DE FOGO DESMUNICIADA,['DPE DIREITO PENAL'],,,ARMA DE FOGO,['PORTE DE MUNIÇÃO'],ARMA DE FOGO SEM MUNIÇÃO,,arm de fog desmunici
ARMA DE FOGO SEM MUNIÇÃO,['DPE DIREITO PENAL'],,,,,,ARMA DE FOGO DESMUNICIADA,arm de fog sem mun
ARMADOR,['DEM DIREITO EMPRESARIAL'],"

NOTA
Art. 16. Para os efeitos desta lei, compreende-se como armador a pessoa 
física ou jurídica que, em seu nome e sob sua responsabilidade, apresta a 
embarcação para sua utilização, pondo-a ou não a navegar por sua 
conta.
        Parágrafo único. Nesse conceito também se incluem aqueles que 
tenham o exclusivo controle da expedição, sob qualquer modalidade de 
cessão, embora recebam a embarcação devidamente aparelhada e 
tripulada, desde que possuam sobre ela poderes de administração.
(Lei 7.652/1988 - Dispõe sobre o registro da Propriedade Marítima e dá 
outras providências).
",,,,EMPRESA ARMADORA,,arm
ARMAMENTO MILITAR,['DMI DIREITO MILITAR'],,,MATERIAL BÉLICO,['ARMA DE FOGO'],,,arm milit
ARMANDO DE ALENCAR,,,,,,,,arm de alenc
ARMAS NACIONAIS,['DCT DIREITO CONSTITUCIONAL'],,,SÍMBOLO OFICIAL,,,,arm nacion
ARMAZÉM PORTUÁRIO,"['DEM DIREITO EMPRESARIAL', 'DTR DIREITO TRIBUTÁRIO']","

NOTA
Local destinado a receber, despachar e estocar mercadorias decorrentes dos navios.
",,,"['PORTO', 'TAXA DE ARMAZENAGEM']",,,armazem portu
ARMAZENAGEM,['MOD MODIFICADORES'],,,,,,ARMAZENAMENTO,armazen
ARMAZENAMENTO,['MOD MODIFICADORES'],,,,,ARMAZENAGEM,,armazen
COMÉRCIO ILEGAL DE ARMA DE FOGO,['DPE DIREITO PENAL'],"

NOTA
Art. 17. Adquirir, alugar, receber, transportar, conduzir, ocultar, ter em depósito, desmontar, montar, remontar, adulterar, vender, expor à venda, ou de qualquer forma utilizar, em proveito próprio ou alheio, no exercício de atividade comercial ou industrial, arma de folgo, acessório ou munição, sem autorização ou em desacordo com determinação legal ou regulamentar. (Lei 10.826/2003 - Estatuto do Desarmamento).
",,,"['ARMA DE FOGO', 'DISPARO DE ARMA DE FOGO', 'ESTATUTO DO DESARMAMENTO', 'OMISSÃO DE CAUTELA', 'PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO', 'POSSE IRREGULAR DE ARMA DE FOGO DE USO PERMITIDO', 'POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO OU DE USO PROIBIDO', 'TRAFICANTE', 'TRÁFICO INTERNACIONAL DE ARMA DE FOGO']",,,comerci ileg de arm de fog
COMPANHIA BRASILEIRA DE ARMAZENAMENTO,['INS INSTITUIÇÕES'],,,,,,COMPANHIA BRASILEIRA DE ARMAZENAMENTO (CIBRAZEM),companh brasil de armazen
COMPANHIA BRASILEIRA DE ARMAZENAMENTO (CIBRAZEM),['INS INSTITUIÇÕES'],,,,,CIBRAZEM,,companh brasil de armazen (cibrazem)
CONSELHO FEDERAL DE FARMÁCIA,['INS INSTITUIÇÕES'],,,,,,CONSELHO FEDERAL DE FARMÁCIA (CFF),conselh feder de farmac
CONSELHO FEDERAL DE FARMÁCIA (CFF),['INS INSTITUIÇÕES'],,,,,CFF,,conselh feder de farmac (cff)
CONSELHO REGIONAL DE FARMÁCIA,['INS INSTITUIÇÕES'],,,,,,CONSELHO REGIONAL DE FARMÁCIA (CRF),conselh region de farmac
CONSELHO REGIONAL DE FARMÁCIA (CRF),['INS INSTITUIÇÕES'],,,CONSELHO REGIONAL,,CONSELHO REGIONAL DE FARMÁCIA,,conselh region de farmac (crf)
"CRIME DE EXERCÍCIO ILEGAL DA MEDICINA, ARTE DENTÁRIA OU FARMACÊUTICA",['DPE DIREITO PENAL'],,,,"['CONCURSO MATERIAL', 'CRIME DE CURANDEIRISMO', 'EXAME DE CORPO DE DELITO INDIRETO', 'PERÍCIA']",,,"crim de exercici ileg da medicina, art dentar ou farmac"
"CRIME DE SUPRESSÃO OU ALTERAÇÃO DE MARCA, NUMERAÇÃO OU DE QUALQUER SINAL IDENTIFICADOR DE ARMA DE FOGO OU DE ARTEFATO","['DPE DIREITO PENAL', 'DPP DIREITO PROCESSUAL PENAL']",,,,['ESTATUTO DO DESARMAMENTO'],,,"crim de supress ou alter de marca, numer ou de qualqu sinal identific de arm de fog ou de artefat"
DISPARO DE ARMA DE FOGO,['DPE DIREITO PENAL'],"

NOTA
Art. 15. Disparar arma de fogo ou acionar munição em lugar habitado ou em 
suas adjacências, em via pública ou em direção a ela, desde que essa 
conduta não tenha como finalidade a prática de outro crime. 
(Lei 10.826/2003 - Estatuto do Desarmamento).
",,,"['ARMA DE FOGO', 'COMÉRCIO ILEGAL DE ARMA DE FOGO', 'ESTATUTO DO DESARMAMENTO', 'OMISSÃO DE CAUTELA', 'PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO', 'POSSE IRREGULAR DE ARMA DE FOGO DE USO PERMITIDO', 'POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO OU DE USO PROIBIDO', 'TRÁFICO INTERNACIONAL DE ARMA DE FOGO']",,,dispar de arm de fog
EMPREGO DE ARMA,['DPE DIREITO PENAL'],"

NOTA
Qualificador previsto no art. 157, § 2º, I, do Código Pena
",,,"['ARMA DE FOGO', 'EXTORSÃO', 'ROUBO']",EMPREGO DE ARMA DE FOGO,,empreg de arm
EMPREGO DE ARMA DE FOGO,['DPE DIREITO PENAL'],,,,,,EMPREGO DE ARMA,empreg de arm de fog
EMPRESA ARMADORA,['DEM DIREITO EMPRESARIAL'],,,,,,ARMADOR,empr arm
ESTADO-MAIOR DAS FORÇAS ARMADAS,['INS INSTITUIÇÕES'],,,,,,ESTADO-MAIOR DAS FORÇAS ARMADAS (EMFA),estado-mai da forc arm
ESTADO-MAIOR DAS FORÇAS ARMADAS (EMFA),['INS INSTITUIÇÕES'],,,,,EMFA,,estado-mai da forc arm (emfa)
ESTATUTO DO DESARMAMENTO,"['DCT DIREITO CONSTITUCIONAL', 'DPE DIREITO PENAL']","

NOTA
Veja Lei 10.826/2003.
",,ESTATUTO,"['ARMA DE FOGO', 'COMÉRCIO ILEGAL DE ARMA DE FOGO', 'CRIME DE SUPRESSÃO OU ALTERAÇÃO DE MARCA, NUMERAÇÃO OU DE QUALQUER SINAL IDENTIFICADOR DE ARMA DE FOGO OU DE ARTEFATO', 'DISPARO DE ARMA DE FOGO', 'LOCAL DE TRABALHO', 'OMISSÃO DE CAUTELA', 'PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO', 'POSSE IRREGULAR DE ARMA DE FOGO DE USO PERMITIDO', 'POSSE OU PORTE ILEGAL DE ARMA DE FOGO DE USO RESTRITO OU DE USO PROIBIDO', 'TRÁFICO INTERNACIONAL DE ARMA DE FOGO', 'USO PERMITIDO', 'USO RESTRITO']",,,estatut do desarm
FARMACÊUTICO,['NOC NOMES COMUNS'],"

NOTA
Profissional da área de saúde, responsável pelo exercício da farmácia. Perito no uso dos fármacos.
",,,['FARMÁCIA'],,,farmac
FARMÁCIA,['NOC NOMES COMUNS'],"

NOTA
Utilizar para designar o local onde são vendidos medicamentos.
",,,['FARMACÊUTICO'],DROGARIA,,farmac
FORÇAS ARMADAS,"['DCT DIREITO CONSTITUCIONAL', 'DMI DIREITO MILITAR']",,AERONÁUTICA,,"['CONSELHO DE DISCIPLINA', 'CONSELHO DE JUSTIFICAÇÃO', 'CORPORAÇÃO MILITAR', 'DESLIGAMENTO DE MILITAR', 'EX-COMBATENTE', 'GRATIFICAÇÃO DE CONDIÇÃO ESPECIAL DE TRABALHO (GCET)', 'HIERARQUIA MILITAR', 'ÓRGÃO MILITAR', 'QUADRO AUXILIAR DE OFICIAIS (QAO)', 'QUADRO DE OFICIAIS', 'QUADRO FEMININO', 'SOBERANIA NACIONAL', 'TERRENO DE MARINHA']",,,forc arm
GRUPO ARMADO CIVIL,"['DCT DIREITO CONSTITUCIONAL', 'DPE DIREITO PENAL']",,,,"['ATIVIDADE ILÍCITA', 'CRIME CONTRA A PAZ PÚBLICA', 'CRIME IMPRESCRITÍVEL', 'CRIME INAFIANÇÁVEL', 'ORGANIZAÇÃO CRIMINOSA', 'ORGANIZAÇÃO PARAMILITAR', 'REVOLUÇÃO']",,,grup arm civil
GRUPO ARMADO MILITAR,"['DCT DIREITO CONSTITUCIONAL', 'DPE DIREITO PENAL']",,,,"['ATIVIDADE ILÍCITA', 'CRIME IMPRESCRITÍVEL', 'CRIME INAFIANÇÁVEL', 'CRIME MILITAR', 'ORGANIZAÇÃO PARAMILITAR', 'REVOLUÇÃO']",,,grup arm milit
INDÚSTRIA FARMACÊUTICA,['NOC NOMES COMUNS'],,,,,,,industr farmac
OFENSA ÀS FORÇAS ARMADAS,['DMI DIREITO MILITAR'],"

NOTA
Art. 219. Propalar fatos, que sabe inverídicos, capazes de 
ofender a dignidade ou abalar o crédito das forças armadas 
ou a confiaça que estas merecem do público:
Pena - detenção, de 6 (seis) meses a 1 (um) ano.
Parágrafo único. A pena será aumentada de 1/3 (um terço), 
se o crime é cometido pela imprensa, rádio ou televisão.
(Decreto-lei 1.001/1969 - Código Penal Militar).
",,CRIME CONTRA A HONRA,['MILITAR'],,,ofens as forc arm
